trait_id,GeneID,Symbol,tax_id,Org_name
restriction_factor_NCBI,200315,APOBEC3A,9606,Homo sapiens
restriction_factor_NCBI,9582,APOBEC3B,9606,Homo sapiens
restriction_factor_NCBI,140564,APOBEC3D,9606,Homo sapiens
restriction_factor_NCBI,200316,APOBEC3F,9606,Homo sapiens
restriction_factor_NCBI,60489,APOBEC3G,9606,Homo sapiens
restriction_factor_NCBI,164668,APOBEC3H,9606,Homo sapiens
restriction_factor_NCBI,351,APP,9606,Homo sapiens
restriction_factor_NCBI,684,BST2,9606,Homo sapiens
restriction_factor_NCBI,8945,BTRC,9606,Homo sapiens
restriction_factor_NCBI,966,CD59,9606,Homo sapiens
restriction_factor_NCBI,4261,CIITA,9606,Homo sapiens
restriction_factor_NCBI,23586,DDX58,9606,Homo sapiens
restriction_factor_NCBI,22907,DHX30,9606,Homo sapiens
restriction_factor_NCBI,2081,ERN1,9606,Homo sapiens
restriction_factor_NCBI,63901,FAM111A,9606,Homo sapiens
restriction_factor_NCBI,338442,HCAR2,9606,Homo sapiens
restriction_factor_NCBI,9759,HDAC4,9606,Homo sapiens
restriction_factor_NCBI,3428,IFI16,9606,Homo sapiens
restriction_factor_NCBI,10437,IFI30,9606,Homo sapiens
restriction_factor_NCBI,3434,IFIT1,9606,Homo sapiens
restriction_factor_NCBI,10410,IFITM3,9606,Homo sapiens
restriction_factor_NCBI,3456,IFNB1,9606,Homo sapiens
restriction_factor_NCBI,146433,IL34,9606,Homo sapiens
restriction_factor_NCBI,23028,KDM1A,9606,Homo sapiens
restriction_factor_NCBI,4600,MX2,9606,Homo sapiens
restriction_factor_NCBI,192343,NEWENTRY,9606,Homo sapiens
restriction_factor_NCBI,4803,NGF,9606,Homo sapiens
restriction_factor_NCBI,51247,PAIP2,9606,Homo sapiens
restriction_factor_NCBI,148479,PHF13,9606,Homo sapiens
restriction_factor_NCBI,10226,PLIN3,9606,Homo sapiens
restriction_factor_NCBI,10450,PPIE,9606,Homo sapiens
restriction_factor_NCBI,55170,PRMT6,9606,Homo sapiens
restriction_factor_NCBI,7879,RAB7A,9606,Homo sapiens
restriction_factor_NCBI,25939,SAMHD1,9606,Homo sapiens
restriction_factor_NCBI,6404,SELPLG,9606,Homo sapiens
restriction_factor_NCBI,23411,SIRT1,9606,Homo sapiens
restriction_factor_NCBI,23137,SMC5,9606,Homo sapiens
restriction_factor_NCBI,79677,SMC6,9606,Homo sapiens
restriction_factor_NCBI,8878,SQSTM1,9606,Homo sapiens
restriction_factor_NCBI,7094,TLN1,9606,Homo sapiens
restriction_factor_NCBI,7157,TP53,9606,Homo sapiens
restriction_factor_NCBI,10346,TRIM22,9606,Homo sapiens
restriction_factor_NCBI,5987,TRIM27,9606,Homo sapiens
restriction_factor_NCBI,90933,TRIM41,9606,Homo sapiens
restriction_factor_NCBI,85363,TRIM5,9606,Homo sapiens
restriction_factor_NCBI,81844,TRIM56,9606,Homo sapiens
restriction_factor_NCBI,7284,TUFM,9606,Homo sapiens
restriction_factor_NCBI,7431,VIM,9606,Homo sapiens
restriction_factor_NCBI,7494,XBP1,9606,Homo sapiens
restriction_factor_NCBI,56829,ZC3HAV1,9606,Homo sapiens